SchoolYear,ESD Number,District Code,DIstrict Name,School Code,School Name,Accountability Status,1003 Award,Guidance and Counseling,Teaching,Instructional Professional Development,Instructional Technology,Curriculum,Supervision,Health/Related Services,Learning Resources,Operation of Buildings,Maintenance,Utilities,Pupil Management and Safety,No Activity Reported,,,
2022-2023,ESD 171,13144,Quincy School District,3426,George Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 171,13144,Quincy School District,3020,Mountain View Elementary School,TargetEL,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 105,13160,Royal School District,3620,Royal Middle School,TargetEL,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 171,13161,Moses Lake School District,5354,Endeavor Middle School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 171,13161,Moses Lake School District,2969,Lakeview Terrace Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,14005,Aberdeen School District,3857,Harbor High School,LOWGRADS,65275,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,14028,Hoquiam School District,2972,Central Elementary School,Target3+,30000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,14064,North Beach School District,3788,North Beach  Secondary School (formerly North Beach Jr HS),COMPRSCH,75855,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,14068,Elma School District,3217,Elma Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,14077,Taholah School District,5032,Taholah Elementary & Middle School,COMPRSCH,75855,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,14077,Taholah School District,3580,Taholah High School,COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,14097,Lake Quinault School District,2921,Lake Quinault Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17001,Seattle Public Schools,1596,Seattle World School,COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17001,Seattle Public Schools,1635,Interagency Programs,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17001,Seattle Public Schools,3778,Alan T. Sugiyama High School,LOWGRADS,65275,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17001,Seattle Public Schools,5351,Jane Addams Middle School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17001,Seattle Public Schools,5276,Louisa Boren STEM K-8,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17001,Seattle Public Schools,2977,Viewlands Elementary School,TargetEL,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3700,Brigadoon Elementary School,COMPRSCH,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3627,Mark Twain Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,5348,Open Doors Youth Reengagement (1418),COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3583,Wildwood Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3898,Illahee Middle School,Target3+,45000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3738,Lake Dolloff Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3701,Kilo Middle School,Target3+,45000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3432,Olympic View Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,5029,Sequoyah Middle School,Target3+,45000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17210,Federal Way School District,3431,Evergreen Middle School (formerly Totem Middle School),Target3+,45000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17401,Highline School District,2765,Beverly Park Elem at Glendale,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Auburn School District,
2022-2023,ESD 121,17401,Highline School District,1972,New Start,LOWGRADS,65275,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Federal Way School District,
2022-2023,ESD 121,17401,Highline School District,2982,Bow Lake Elementary School,Target3+,30000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Highline School District,
2022-2023,ESD 121,17401,Highline School District,3163,Cascade Middle School,Target3+,30000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Issaquah School District,
2022-2023,ESD 121,17401,Highline School District,3333,Pacific Middle School,Target3+,30000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,kent School District,
2022-2023,ESD 121,17403,Renton School District,3337,Cascade Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Renton School District,
2022-2023,ESD 121,17403,Renton School District,3740,Talbot Hill Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Seattle School District,
2022-2023,ESD 121,17408,Auburn School District,2394,Cascade Middle School,COMPRSCH,75855,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Snoqualmie Valley School District,336985
2022-2023,ESD 121,17408,Auburn School District,3169,Olympic Middle School,COMPRSCH,75855,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,497565
2022-2023,ESD 121,17408,Auburn School District,2702,West Auburn Senior High School,LOWGRADS,65275,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,231130
2022-2023,ESD 121,17408,Auburn School District,4462,Mt Baker Middle School,Target3+,30000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,112500
2022-2023,ESD 121,17408,Auburn School District,2932,Dick Scobee Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,240855
2022-2023,ESD 121,17408,Auburn School District,3525,Lea Hill Elementary School,Target3+,30000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,105855
2022-2023,ESD 121,17408,Auburn School District,4385,Rainier Middle School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,306985
2022-2023,ESD 121,17410,Snoqualmie Valley School District,2287,North Bend Elementary School,TargetEL,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,30000
2022-2023,ESD 121,17411,Issaquah School District,3569,Echo Glen,SIINSTED,112500,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17415,Kent School District,5275,iGrad,COMPRSCH,75855,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
2022-2023,ESD 121,17415,Kent School District,5016,Mill Creek Middle School,Target3+,45000,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17415,Kent School District,3764,Meeker Middle School,Target3+,30000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17415,Kent School District,3593,Pine Tree Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17415,Kent School District,4440,Cedar Heights Middle School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 121,17415,Kent School District,3389,Scenic Hill Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 114,18100,Bremerton School District,4441,Mountain View Middle School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 114,18100,Bremerton School District,1737,Renaissance Alternative High School,LOWGRADS,65275,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 105,19403,Kittitas School District,2569,Kittitas Elementary School,Target3+,30000,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 112,20403,Roosevelt School District,3530,Roosevelt Elementary School,COMPRSCH,75855,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,21232,Winlock School District,2290,Winlock Miller Elementary School,COMPRSCH,75855,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,21302,Chehalis School District,2027,Green Hill Academic School,SIINSTED,112500,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 101,22204,Harrington School District,3113,Harrington High School,LOWGRADS,65275,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
2022-2023,ESD 113,23309,Shelton School District,3292,Mountain View Elementary School,TargetEL,30000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
